Brutus;English Sheepdog;young;854-40-2482
Tyson;Redbone;young;074-96-8961
Harvey;American Terrier;puppy;258-38-1877
Milo;French Bulldog;adult;240-46-3748
Annie;Great Dane;senior;148-66-4957
Diamond;Bull Mastiff;young;079-14-3660
Sophie;Eskimo;young;308-07-9235
Baxter;Newfoundland;puppy;512-32-6350
Harley;Stbernard;puppy;897-50-8869
Oscar;Miniature Pinscher;adult;029-18-1290
Bandit;Bernese Mountain;young;327-33-1498
Zoe;Afghan Hound;young;589-81-8122
Shelby;Briard;senior;192-15-4457
Bandit;Bouvier;adult;285-71-3581
Oscar;Fox Terrier;adult;668-64-8621
Peanut;Irish Setter;senior;194-43-2257
Lola;Husky;senior;236-63-4954
Lola;Rhodesian Ridgeback;senior;054-34-2382
Sammy;Welsh Spaniel;puppy;842-69-9141
Misty;English Springer;young;019-12-0599
Penny;Malamute;adult;352-30-8844
Sugar;Shiba;adult;606-50-9317
Charlie;Briard;young;158-03-9078
Zeus;Scottish Deerhound;senior;351-37-4315
Precious;Affenpinscher;puppy;075-64-9513
Zeus;Irish Terrier;puppy;624-04-5159
Lily;Pug;young;607-29-7238
Gracie;Irish Terrier;adult;143-23-4911
Luna;Golden Retriever;young;863-61-0252
Baxter;Cairn;adult;376-79-7453
Luna;Silky Terrier;adult;472-77-9409
Sadie;English Springer;puppy;829-57-4705
Bailey;Irish Setter;senior;211-94-0876
Luna;Wheaten Terrier;senior;282-77-6412
Casey;Bedlington Terrier;puppy;148-91-2361
Honey;Pembroke;puppy;312-37-8426
Brutus;Newfoundland;puppy;454-18-4932
Buddy;Golden Retriever;young;621-12-7081
Zeus;Doberman;adult;795-19-8321
Jake;Basenji;puppy;155-94-7491
Rascal;Redbone;young;297-36-9151
Bear;Eskimo;adult;774-56-3672
Ruby;Doberman;young;342-44-5181
Sandy;Patterdale Terrier;senior;472-77-9409
Lucy;Pembroke;puppy;293-94-2553
Snoopy;Saluki;senior;564-10-9910
Casey;Briard;puppy;317-54-5740
Ginger;Shiba;young;756-86-1997
Milo;Gordon Setter;adult;803-93-7051
Honey;Brabancon;puppy;654-56-0859
Buddy;French Bulldog;senior;061-24-5320
Rascal;Miniature Schnauzer;adult;130-53-1864
Sasha;Boston Bulldog;young;164-56-1342
Bear;Miniature Poodle;young;265-55-8573
Bandit;Irish Spaniel;young;847-74-2305
Luna;Flatcoated Retriever;senior;618-22-5152
Bo;Tibetan Mastiff;adult;352-50-9503
Teddy;Cairn;young;132-98-4496
Sammy;Cairn;adult;074-99-9543
Diamond;Entlebucher;adult;592-92-4191
Peanut;Chow;puppy;288-85-2856
Sassy;Malamute;adult;254-62-7842
Bailey;Pomeranian;puppy;681-14-8821
Angel;Golden Retriever;young;108-81-8241
Oscar;Pekinese;puppy;655-98-1979
Rusty;Eskimo;young;691-21-0543
Penny;Dandie Terrier;young;381-92-3769
Snickers;Eskimo;adult;211-94-0876
Snoopy;Cairn;puppy;326-20-5689
Roxy;Vizsla;puppy;870-04-6844
Snickers;Tibetan Mastiff;young;842-69-9141
Luna;English Hound;senior;513-48-3905
Honey;Afghan Hound;adult;875-45-6325
Rusty;Cocker Spaniel;adult;835-55-3033
Bandit;Dingo;adult;035-01-1740
Sandy;Pembroke;senior;246-18-0998
Rosie;Germanshepherd;adult;029-18-1290
Bella;Pyrenees;young;618-22-5152
Bella;Norwich Terrier;senior;824-49-9554
Chloe;Kerryblue Terrier;puppy;886-64-6896
Lucky;Chow;young;563-52-7000
Duke;Papillon;young;569-84-6193
Dixie;Shetland Sheepdog;adult;103-86-1796
Maggie;Coonhound;young;678-59-1255
Abby;Golden Retriever;adult;513-48-3905
Maggie;English Springer;young;381-92-9182
Daisy;English Sheepdog;adult;263-40-4533
Chance;Boston Bulldog;senior;688-58-9207
Abby;Chesapeake Retriever;adult;864-63-8234
Duke;Irish Terrier;puppy;365-07-1389
Spike;Maltese;senior;074-96-8961
Baxter;Miniature Poodle;senior;326-62-0516
Toby;Groenendael;puppy;739-01-4458
Tank;Chesapeake Retriever;senior;854-12-6905
Lily;Great Dane;young;795-19-8321
Patches;Briard;puppy;391-76-8258
Lilly;Basenji;adult;800-73-3796
Chico;Toy Poodle;adult;829-57-4705
Maggie;Borzoi;puppy;578-66-2768
Gizmo;Dachshund;young;324-03-7539
Shelby;Italian Greyhound;adult;381-92-1455
Daisy;Stbernard;puppy;788-25-8367
Abby;Clumber;adult;717-03-7834
Coco;Tibetan Terrier;puppy;854-64-7960
Honey;Fox Terrier;young;376-79-7453
Taz;Saluki;adult;633-61-0209
Cookie;English Sheepdog;senior;265-55-8573
Shelby;Blenheim Spaniel;puppy;799-18-4070
Jack;Giant Schnauzer;young;511-25-1688
Lilly;Norfolk Terrier;young;833-62-0560
Tucker;Schipperke;young;420-58-9077
Cocoa;Pomeranian;puppy;659-70-8468
Sam;Blenheim Spaniel;puppy;842-69-9141
Lily;Leonberg;senior;199-02-1904
Sadie;Husky;puppy;094-67-9246
Shadow;Chow;adult;587-21-8703
Coco;Brittany Spaniel;adult;684-86-2222
Sparky;Great Dane;senior;004-07-8169
Daisy;French Bulldog;senior;460-73-9886
Jake;Basenji;puppy;513-48-3905
Rocky;Miniature Schnauzer;adult;493-49-8435
Pepper;Cairn;puppy;870-04-6844
Tyson;Coonhound;puppy;621-59-4389
Duke;Norfolk Terrier;adult;661-67-4432
Diesel;Newfoundland;adult;326-62-0516
Penny;African;senior;158-03-9078
Sammy;Redbone;adult;183-98-9475
Zoey;Golden Retriever;young;685-17-2312
Blue;Staffordshire Bullterrier;puppy;675-08-9104
Lily;German Pointer;puppy;075-64-9513
Luna;Samoyed;puppy;671-91-9331
Sam;Papillon;senior;497-02-8147
Tucker;Pyrenees;adult;727-26-6893
Rocky;Westhighland Terrier;senior;492-28-5592
Rex;Saluki;puppy;035-01-1740
Zoey;Bull Mastiff;adult;608-75-4240
Chance;Bluetick;young;122-03-0495
Rosie;Airedale;puppy;709-66-0766
Chance;Entlebucher;senior;201-37-6182
Rascal;Eskimo;senior;611-35-5647
Annie;Shetland Sheepdog;senior;022-70-1100
Duke;Japanese Spaniel;senior;151-61-5370
Pepper;Saluki;adult;757-12-2808
Ginger;Ibizan Hound;adult;504-90-5175
Bo;Border Terrier;senior;198-53-0096
Milo;Rhodesian Ridgeback;young;754-03-9790
Riley;Newfoundland;young;829-30-4785
Bailey;Gordon Setter;adult;523-44-4451
Baxter;Airedale;adult;075-64-9513
Bailey;American Terrier;adult;328-31-5710
Baby;Australian Terrier;adult;166-95-2582
Sparky;Bernese Mountain;adult;333-77-9766
Harley;Irish Spaniel;adult;258-38-1877
Tyson;Saluki;puppy;675-08-9104
Shadow;Mexicanhairless;young;757-12-2808
Teddy;Dingo;senior;854-40-2482
Rusty;Brittany Spaniel;puppy;230-20-9421
Dixie;Otterhound;senior;196-81-5671
Bubba;Newfoundland;puppy;599-95-7602
Jasper;Australian Terrier;senior;449-63-2220
Rascal;Cardigan Corgi;young;650-77-6443
Sophie;Japanese Spaniel;puppy;769-09-5009
Peanut;English Sheepdog;adult;787-96-9690
Rusty;Basset Hound;adult;492-28-5592
Chloe;English Springer;puppy;713-59-1659
Misty;Miniature Pinscher;adult;246-34-9962
Lily;Walker Hound;puppy;254-62-7842
Diamond;Shetland Sheepdog;puppy;449-63-2220
Dakota;Bernese Mountain;adult;425-03-0843
Cookie;Scottish Terrier;young;357-48-6155
Taz;Schipperke;adult;611-35-5647
Bear;Borzoi;senior;235-34-1022
Dixie;Cocker Spaniel;puppy;718-56-2138
Oscar;Pembroke;adult;842-69-9141
Princess;Wheaten Terrier;young;509-27-1013
Sugar;Border Collie;adult;275-28-1510
Sophie;Germanshepherd;young;166-95-2582
Milo;Golden Retriever;young;293-94-2553
Sophie;Westhighland Terrier;adult;568-66-9393
Rex;Sealyham Terrier;senior;038-77-1921
Daisy;Afghan Hound;adult;092-16-2759
Taz;Bull Mastiff;adult;343-14-4077
Casey;Sussex Spaniel;senior;371-52-7234
Marley;Norwegian Elkhound;young;605-73-3383
Snoopy;Dachshund;puppy;030-48-5838
Shelby;Mexicanhairless;adult;049-85-0738
Gracie;Borzoi;young;880-40-3759
Precious;Clumber;young;029-18-1290
Coco;Stbernard;puppy;130-53-1864
Duke;Toy Poodle;adult;548-46-7757
Jack;Japanese Spaniel;adult;792-81-6777
Mia;Bernese Mountain;puppy;716-06-1340
Zoey;Fox Terrier;young;350-96-2337
Missy;Miniature Poodle;young;130-53-1864
Milo;Rottweiler;adult;453-38-9698
Buddy;Norwegian Elkhound;puppy;861-79-9447
Angel;Patterdale Terrier;puppy;265-55-8573
Tyson;Eskimo;senior;320-69-6052
Peanut;Pekinese;young;246-03-9648
Gracie;French Bulldog;puppy;679-46-1608
Buster;Dingo;young;751-39-7562
Bear;Shetland Sheepdog;senior;799-18-4070
Princess;Shihtzu;adult;679-46-1608
Casey;Ibizan Hound;young;229-65-9117
Ruby;Kelpie;puppy;573-94-7886
Tyson;Mexicanhairless;senior;201-01-5705
Rosie;Irish Spaniel;adult;578-66-2768
Bear;Basenji;young;509-27-1013
Rusty;Dandie Terrier;young;049-85-0738
Cody;Newfoundland;adult;032-86-3691
Molly;Akita;senior;399-59-9632
Rascal;Scottish Terrier;puppy;637-35-7008
Sasha;Border Collie;senior;189-24-2402
Casey;Toy Terrier;young;115-66-0086
Baxter;Westhighland Terrier;senior;143-23-4911
Taz;American Terrier;senior;698-17-4657
Precious;Whippet;senior;599-57-0846
Coco;Stbernard;senior;819-52-3520
Sassy;Redbone;senior;610-35-5425
Lilly;Eskimo;adult;386-76-7203
Brutus;Coonhound;puppy;592-92-4191
Cookie;Basenji;adult;202-51-0182
Ginger;German Pointer;adult;189-24-2402
Jack;Shihtzu;young;757-21-3332
Cookie;Basenji;senior;106-36-4146
Lilly;Walker Hound;senior;108-91-7588
Sophie;Airedale;young;147-09-3700
Roxy;Clumber;adult;286-22-2340
Bailey;Brittany Spaniel;adult;069-17-0568
